Longitude,Latitude,Crime type,Date,Crime Description
-122.478431695,37.715910057,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen & Recovered"
-122.4601372,37.783136487,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $50-$200"
-122.421017516,37.784302729,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.40827159,37.778860686,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Other Vehicle"
-122.423655076,37.805286984,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.433083399,37.785150939,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.417260632,37.807072513,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $50-$200"
-122.500515203,37.775569117,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.463350527,37.782989203,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.406085975,37.730975617,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.480450629,37.780280237,Larceny Theft,2021-10-02 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.414241574,37.783723782,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $50-$200"
-122.414241574,37.783723782,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $50-$200"
-122.449189584,37.790608107,Larceny Theft,2021-10-02 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.435395727,37.764926459,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.426309439,37.769602596,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.40579958,37.791778212,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.433524706,37.804033454,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.403070896,37.718464646,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Auto"
-122.418593946,37.753836587,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, <$50"
-122.389636641,37.786223776,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.398695703,37.798880966,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.404795063,37.784908299,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.40521396,37.746474146,Motor Vehicle Theft,2021-10-02 0:00:00,"Vehicle, Stolen, Other Vehicle"
-122.431365814,37.710657859,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.458815069,37.764365859,Malicious Mischief,2021-10-02 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.443753268,37.787647209,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.446470831,37.775801591,,2021-10-02 0:00:00,"Driving, Stunt Vehicle/Street Racing"
-122.403139296,37.79466628,Larceny Theft,2021-10-02 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.438177049,37.776855888,Vehicle Impounded,2021-10-02 0:00:00,"Vehicle, Impounded"
-122.437900556,37.716319601,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.481353795,37.720398971,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Other Vehicle"
-122.438779403,37.796670442,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.424717564,37.777139661,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.404605507,37.777699659,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.44768796,37.773732768,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.391373533,37.772830994,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.483058895,37.719793399,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.440958165,37.779364138,Larceny Theft,2021-10-03 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.506476343,37.752916762,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen & Recovered"
-122.418030234,37.773474419,Larceny Theft,2021-10-03 0:00:00,"Theft, From Unlocked Vehicle, $200-$950"
-122.509402193,37.764032734,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Truck"
-122.416631384,37.737037437,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Truck"
-122.41205031,37.761643046,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.41423351,37.754098882,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Truck"
-122.397176879,37.729909883,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.41423351,37.754098882,Recovered Vehicle,2021-10-03 0:00:00,"Vehicle, Recovered, Truck"
-122.405357242,37.805695943,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.368429981,37.727844929,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.420432819,37.763375551,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.395743956,37.77769842,Recovered Vehicle,2021-10-03 0:00:00,"Vehicle, Recovered, Auto"
-122.403348711,37.804030125,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.395743956,37.77769842,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.388507731,37.750205974,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.412141426,37.806758082,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.421749882,37.788027214,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.40827159,37.778860686,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.391491915,37.723914104,Recovered Vehicle,2021-10-03 0:00:00,"Vehicle, Recovered, Mobile Home or House Trailer"
-122.402824985,37.735891248,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Truck"
-122.441678194,37.777373284,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.413865605,37.781863338,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.414741223,37.778719428,Recovered Vehicle,2021-10-03 0:00:00,"Vehicle, Recovered, Auto"
-122.409997159,37.760485263,Vandalism,2021-10-03 0:00:00,"Vehicle, Tampering"
-122.442209786,37.805786274,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.423281457,37.766464791,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.414053766,37.782794445,Recovered Vehicle,2021-10-03 0:00:00,"Vehicle, Recovered, Truck"
-122.414053766,37.782794445,Recovered Vehicle,2021-10-03 0:00:00,"Vehicle, Recovered, Truck"
-122.391373533,37.772830994,Vandalism,2021-10-03 0:00:00,"Vehicle, Tampering"
-122.509894751,37.771396031,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.442467914,37.798111951,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Motorcycle"
-122.414711005,37.77623052,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.422006823,37.805496648,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.402121213,37.716134501,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.375599579,37.829662296,Larceny Theft,2021-10-03 0:00:00,"Theft, Vehicle Strip, $200-$950"
-122.44642171,37.785370264,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.386045542,37.733103478,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Truck"
-122.391417528,37.760361491,Vandalism,2021-10-03 0:00:00,"Vehicle, Tampering"
-122.398695703,37.798880966,Larceny Theft,2021-10-03 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.426713228,37.768982074,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.410810713,37.751091687,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.412782129,37.784866245,Malicious Mischief,2021-10-03 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.431091996,37.792008458,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Auto"
-122.394035068,37.776332976,Motor Vehicle Theft,2021-10-03 0:00:00,"Vehicle, Stolen, Other Vehicle"
-122.420580609,37.764996269,Larceny Theft,2021-10-04 0:00:00,"Theft, From Unlocked Vehicle, $200-$950"
-122.370819822,37.727310687,Assault,2021-10-04 0:00:00,Shooting into Inhabited Dwelling or Occupied Vehicle
-122.435916076,37.754388655,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Attempted"
-122.427969605,37.757292236,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, Att."
-122.4985553,37.762616773,Larceny Theft,2021-10-04 0:00:00,"Theft, Vehicle Strip, >$950"
-122.475937336,37.730118805,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.423116986,37.737357904,Malicious Mischief,2021-10-04 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.392639388,37.752544683,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Auto"
-122.470297904,37.775076564,Larceny Theft,2021-10-04 0:00:00,"Theft, Vehicle Strip, >$950"
-122.417706751,37.784235739,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Auto"
-122.417706751,37.784235739,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Auto"
-122.397042838,37.745974225,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Truck"
-122.386241894,37.726606164,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.435424517,37.780077637,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Truck"
-122.412157955,37.776660987,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.497159971,37.729769754,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.388977804,37.716086985,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Auto"
-122.452055222,37.770312752,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, Att."
-122.398587835,37.792408219,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.447877802,37.774667365,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Truck"
-122.449829422,37.746844836,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, $50-$200"
-122.466442491,37.765924662,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.466442491,37.765924662,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.4306092,37.781645583,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.399006933,37.721302523,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Recovered, Stolen outside SF"
-122.445922006,37.769179274,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, $50-$200"
-122.422879386,37.760013423,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.458276584,37.767279941,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.406895862,37.744811795,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Motorcycle"
-122.390183079,37.722224946,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Truck"
-122.429926122,37.76606306,Malicious Mischief,2021-10-04 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.49311487,37.786579654,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.419512738,37.763429272,Larceny Theft,2021-10-04 0:00:00,"Theft, From Unlocked Vehicle, >$950"
-122.410497554,37.80696291,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.414876786,37.803542324,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Recovered, Stolen outside SF"
-122.417706751,37.784235739,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.397042838,37.745974225,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Auto"
-122.403883328,37.779005028,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Auto"
-122.473982471,37.780575381,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.414995424,37.787453843,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.406956633,37.805494468,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.4330285,37.776550122,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.393340207,37.734413007,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.484732263,37.780092582,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.374217335,37.730176676,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Auto"
-122.406398879,37.786615346,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.410730719,37.768177869,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Truck"
-122.410730719,37.768177869,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.410730719,37.768177869,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Truck"
-122.40976176,37.749544314,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.432648623,37.77469266,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.427724047,37.775317309,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Auto"
-122.494519753,37.781577294,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.447819574,37.801633207,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.509894751,37.771396031,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.478304881,37.780381191,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.445807539,37.717080228,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Stolen, Truck"
-122.426180045,37.801095455,Motor Vehicle Theft,2021-10-04 0:00:00,"Vehicle, Recovered, Stolen outside SF"
-122.431366398,37.785372646,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.448578818,37.76979785,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.418655874,37.788909611,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.420964094,37.755294781,Malicious Mischief,2021-10-04 0:00:00,"Malicious Mischief, Vandalism to Vehicle"
-122.447819574,37.801633207,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.432829729,37.775626088,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.434483321,37.77541686,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, $200-$950"
-122.421364523,37.768190109,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.406956633,37.805494468,Larceny Theft,2021-10-04 0:00:00,"Theft, From Locked Vehicle, >$950"
-122.392639388,37.752544683,Recovered Vehicle,2021-10-04 0:00:00,"Vehicle, Recovered, Truck"
